Clustering threshold: 0.98
N_clusters: 479
Cluster_ID	TF_Name
410	Ascl1
411	TBX1
411	TBX18
411	TBX3
411	Tbx2
411	Tbx5
412	Eomes
413	ONECUT2
413	Onecut1
414	Hand1
414	Hand2
415	OLIG2
416	Srebf1
416	Srebf2
417	OSR1
418	Rfx3
419	Mga
420	Epas1
420	HIF1A
421	Pol2ra
421	Rnap2
422	Pol3
423	NCOA1
424	Pdx1
425	GMEB1
425	GMEB2
426	Nsd2
427	ZNF750
428	NFIC
428	Nfia
428	Nfib
428	Nfix
429	CBFB
430	THAP12
431	STAT5A
431	STAT5B
431	STAT6
432	STAT1
432	STAT3
432	Stat4
433	STAT2
434	TP63
434	TP73
435	TP53
436	RFXANK
437	YEATS4
438	Rag1
439	TCF25
440	EBF1
440	EBF3
441	MBD1
442	SPDEF
10301	ZKSCAN1
10301	ZKSCAN3
10301	ZKSCAN4
10301	ZKSCAN7
10301	ZKSCAN8
10301	ZNF165
10301	ZNF197
10301	ZNF232
10301	ZNF24
10301	ZNF287
10301	ZNF397
10301	ZSCAN12
10301	ZSCAN16
10301	ZSCAN21
10301	ZSCAN22
10301	ZSCAN23
10301	ZSCAN26
10301	ZSCAN30
10301	ZSCAN31
10301	ZSCAN9
10301	ZKSCAN5
10301	ZNF483
10301	ZNF174
10302	ZFP14
10302	ZFP30
10302	ZFP82
10302	ZNF140
10302	ZNF283
10302	ZNF30
10302	ZNF331
10302	ZNF383
10302	ZNF404
10302	ZNF529
10302	ZNF540
10302	ZNF546
10302	ZNF565
10302	ZNF566
10302	ZNF571
10302	ZNF573
10302	ZNF582
10302	ZNF780A
10302	ZNF790
10302	ZNF850
10302	ZNF607
10303	ZIK1
10303	ZNF132
10303	ZNF134
10303	ZNF154
10303	ZNF17
10303	ZNF211
10303	ZNF256
10303	ZNF304
10303	ZNF416
10303	ZNF419
10303	ZNF530
10303	ZNF547
10303	ZNF548
10303	ZNF549
10303	ZNF551
10303	ZNF671
10303	ZNF749
10303	ZNF772
10303	ZNF773
10303	ZNF792
10303	ZNF584
10304	RBAK
10304	ZFP1
10304	ZNF12
10304	ZNF182
10304	ZNF248
10304	ZNF26
10304	ZNF300
10304	ZNF334
10304	ZNF33A
10304	ZNF33B
10304	ZNF37A
10304	ZNF382
10304	ZNF510
10304	ZNF567
10304	ZNF605
10304	ZNF624
10304	ZNF674
10304	ZNF782
10304	ZNF84
10304	ZNF658
10305	ZNF135
10305	ZNF157
10305	ZNF184
10305	ZNF189
10305	ZNF250
10305	ZNF34
10305	ZNF391
10305	ZNF436
10305	ZNF454
10305	ZNF501
10305	ZNF502
10305	ZNF660
10305	ZNF7
10305	ZNF70
10305	ZNF71
10305	ZNF79
10305	ZNF883
10305	Zfp3
10305	ZNF473
10305	Zfp62
10306	ZNF100
10306	ZNF254
10306	ZNF257
10306	ZNF273
10306	ZNF429
10306	ZNF430
10306	ZNF431
10306	ZNF492
10306	ZNF675
10306	ZNF680
10306	ZNF681
10306	ZNF708
10306	ZNF714
10306	ZNF724
10306	ZNF730
10306	ZNF85
10306	ZNF92
10306	ZNF493
10306	ZNF729
10306	ZNF138
10307	ZNF112
10307	ZNF155
10307	ZNF214
10307	ZNF221
10307	ZNF222
10307	ZNF223
10307	ZNF224
10307	ZNF225
10307	ZNF227
10307	ZNF230
10307	ZNF234
10307	ZNF235
10307	ZNF239
10307	ZNF284
10307	ZNF285
10307	ZNF45
10308	ZNF20
10308	ZNF433
10308	ZNF439
10308	ZNF44
10308	ZNF440
10308	ZNF441
10308	ZNF442
10308	ZNF443
10308	ZNF491
10308	ZNF563
10308	ZNF69
10308	ZNF700
10308	ZNF763
10308	ZNF799
10308	ZNF823
10309	ZNF28
10309	ZNF320
10309	ZNF468
10309	ZNF525
10309	ZNF578
10309	ZNF611
10309	ZNF701
10309	ZNF761
10309	ZNF765
10309	ZNF808
10309	ZNF816
10309	ZNF860
10310	ZNF124
10310	ZNF136
10310	ZNF490
10310	ZNF564
10310	ZNF627
10310	ZNF669
10310	ZNF670
10310	ZNF709
10310	ZNF791
10310	ZNF101
10311	ZNF160
10311	ZNF480
10311	ZNF528
10311	ZNF534
10311	ZNF610
10311	ZNF616
10311	ZNF766
10311	ZNF83
10311	ZNF880
10312	ZNF121
10312	ZNF266
10312	ZNF426
10312	ZNF560
10312	ZNF561
10312	ZNF562
10312	ZNF778
10312	ZNF846
10313	ZNF350
10313	ZNF432
10313	ZNF613
10313	ZNF614
10313	ZNF615
10313	ZNF649
10313	ZNF793
10314	ZFP37
10314	ZNF146
10314	ZNF25
10314	ZNF260
10314	ZNF329
10314	ZNF35
10314	ZNF569
10315	ZNF177
10315	ZNF317
10315	ZNF333
10315	ZNF557
10315	ZNF558
10315	ZNF8
10315	ZNF891
10316	ZNF253
10316	ZNF486
10316	ZNF506
10316	ZNF626
10316	ZNF737
10316	ZNF90
10316	ZNF93
10317	ZNF354A
10317	ZNF354B
10317	ZNF354C
10317	ZNF485
10317	ZNF74
10317	ZNF879
10318	ZNF417
10318	ZNF418
10318	ZNF552
10318	ZNF586
10318	ZNF587
10318	ZNF776
10319	ZNF141
10319	ZNF479
10319	ZNF595
10319	ZNF716
10319	ZNF736
10319	ZNF519
10320	ZNF175
10320	ZNF41
10320	ZNF484
10320	ZNF585A
10320	ZNF81
10321	ZFP28
10321	ZNF527
10321	ZNF570
10321	ZNF583
10321	ZNF667
10322	ZNF264
10322	ZNF460
10322	ZNF543
10322	ZNF550
10322	ZNF805
10323	ZNF555
10323	ZNF556
10323	ZNF57
10323	ZNF699
10323	ZNF77
10324	ZNF619
10324	ZNF620
10324	ZNF621
10324	ZNF662
10325	ZNF251
10325	ZNF3
10325	ZNF554
10325	ZNF713
10326	ZNF263
10326	ZNF394
10326	ZNF449
10326	ZNF202
10327	ZFP69
10327	ZFP69B
10327	ZFP90
10328	ZNF10
10328	ZNF180
10328	ZNF544
10329	ZNF311
10329	ZNF324
10329	ZNF324B
10330	ZFP41
10330	ZNF514
10330	ZNF664
10331	ZIM3
10331	ZNF684
10332	ZNF19
10332	ZNF23
10333	ZNF2
10333	ZNF577
10334	ZNF181
10334	ZNF302
10335	ZNF596
10335	ZNF705G
10336	ZNF678
10336	ZNF682
10337	ZNF195
10337	ZNF695
10338	ZNF267
10338	ZNF720
